HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
Everton,Burnley,2,0,H,E0_2018.csv
Leeds,Sunderland,0,1,A,E0_2018.csv
Wolves,Liverpool,2,1,H,E0_2018.csv
Aston Villa,Chelsea,1,4,A,E0_2018.csv
Brighton,Arsenal,0,1,A,E0_2018.csv
Fulham,West Ham,0,1,A,E0_2018.csv
Man City,Nott'm Forest,2,2,D,E0_2018.csv
Newcastle,Man United,2,1,H,E0_2018.csv
Tottenham,Crystal Palace,1,3,A,E0_2018.csv
Burnley,Bournemouth,0,0,D,E0_2018.csv
Sunderland,Brighton,0,1,A,E0_2018.csv
Arsenal,Everton,2,0,H,E0_2018.csv
Chelsea,Newcastle,0,1,A,E0_2018.csv
West Ham,Man City,1,1,D,E0_2018.csv
Crystal Palace,Leeds,0,0,D,E0_2018.csv
Man United,Aston Villa,3,1,H,E0_2018.csv
Nott'm Forest,Fulham,0,0,D,E0_2018.csv
Liverpool,Tottenham,1,1,D,E0_2018.csv
Brentford,Wolves,2,2,D,E0_2018.csv
Bournemouth,Man United,2,2,D,E0_2018.csv
Brighton,Liverpool,2,1,H,E0_2018.csv
Fulham,Burnley,3,1,H,E0_2018.csv
Everton,Chelsea,3,0,H,E0_2018.csv
Leeds,Brentford,0,0,D,E0_2018.csv
Newcastle,Sunderland,1,2,A,E0_2018.csv
Aston Villa,West Ham,2,0,H,E0_2018.csv
Tottenham,Nott'm Forest,0,3,A,E0_2018.csv
West Ham,Wolves,4,0,H,E0_2018.csv
Arsenal,Bournemouth,1,2,A,E0_2018.csv
Brentford,Everton,2,2,D,E0_2018.csv
Burnley,Brighton,0,2,A,E0_2018.csv
Liverpool,Fulham,2,0,H,E0_2018.csv
Crystal Palace,Newcastle,2,1,H,E0_2018.csv
Nott'm Forest,Aston Villa,1,1,D,E0_2018.csv
Sunderland,Tottenham,1,0,H,E0_2018.csv
Chelsea,Man City,0,3,A,E0_2018.csv
Man United,Leeds,1,2,A,E0_2018.csv
Liverpool,Norwich,4,1,H,E0_2019.csv
West Ham,Man City,0,5,A,E0_2019.csv
Bournemouth,Sheffield United,1,1,D,E0_2019.csv
Burnley,Southampton,3,0,H,E0_2019.csv
Crystal Palace,Everton,0,0,D,E0_2019.csv
Watford,Brighton,0,3,A,E0_2019.csv
Tottenham,Aston Villa,3,1,H,E0_2019.csv
Leicester,Wolves,0,0,D,E0_2019.csv
Newcastle,Arsenal,0,1,A,E0_2019.csv
Man United,Chelsea,4,0,H,E0_2019.csv
Arsenal,Burnley,2,1,H,E0_2019.csv
Aston Villa,Bournemouth,1,2,A,E0_2019.csv
Brighton,West Ham,1,1,D,E0_2019.csv
Everton,Watford,1,0,H,E0_2019.csv
Norwich,Newcastle,3,1,H,E0_2019.csv
Southampton,Liverpool,1,2,A,E0_2019.csv
Man City,Tottenham,2,2,D,E0_2019.csv
Sheffield United,Crystal Palace,1,0,H,E0_2019.csv
Chelsea,Leicester,1,1,D,E0_2019.csv
Wolves,Man United,1,1,D,E0_2019.csv
Aston Villa,Everton,2,0,H,E0_2019.csv
Norwich,Chelsea,2,3,A,E0_2019.csv
Brighton,Southampton,0,2,A,E0_2019.csv
Man United,Crystal Palace,1,2,A,E0_2019.csv
Sheffield United,Leicester,1,2,A,E0_2019.csv
Watford,West Ham,1,3,A,E0_2019.csv
Liverpool,Arsenal,3,1,H,E0_2019.csv
Bournemouth,Man City,1,3,A,E0_2019.csv
Tottenham,Newcastle,0,1,A,E0_2019.csv
Wolves,Burnley,1,1,D,E0_2019.csv
Southampton,Man United,1,1,D,E0_2019.csv
Chelsea,Sheffield United,2,2,D,E0_2019.csv
Crystal Palace,Aston Villa,1,0,H,E0_2019.csv
Leicester,Bournemouth,3,1,H,E0_2019.csv
Man City,Brighton,4,0,H,E0_2019.csv
Newcastle,Watford,1,1,D,E0_2019.csv
West Ham,Norwich,2,0,H,E0_2019.csv
Burnley,Liverpool,0,3,A,E0_2019.csv
Everton,Wolves,3,2,H,E0_2019.csv
Arsenal,Tottenham,2,2,D,E0_2019.csv
Liverpool,Newcastle,3,1,H,E0_2019.csv
Brighton,Burnley,1,1,D,E0_2019.csv
Man United,Leicester,1,0,H,E0_2019.csv
Sheffield United,Southampton,0,1,A,E0_2019.csv
Tottenham,Crystal Palace,4,0,H,E0_2019.csv
Wolves,Chelsea,2,5,A,E0_2019.csv
Norwich,Man City,3,2,H,E0_2019.csv
Bournemouth,Everton,3,1,H,E0_2019.csv
Watford,Arsenal,2,2,D,E0_2019.csv
Aston Villa,West Ham,0,0,D,E0_2019.csv
Southampton,Bournemouth,1,3,A,E0_2019.csv
